game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635106,2025-11-09,1041,583,Paulo Fonseca,Luis Enrique,Groupama Stadium,58257.0,Benoît Bastien,Olympique Lyonnais,Paris Saint-Germain Football Club,domestic_league
4635107,2025-11-09,347,417,Stéphane Le Mignan,Franck Haise,Stade Saint-Symphorien,20683.0,Stéphanie Frappart,Football Club de Metz,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635108,2025-11-09,1420,290,Alexandre Dujeux,Christophe Pélissier,Stade Raymond-Kopa,11575.0,Abdelatif Kherradji,Angers Sporting Club de l'Ouest,Association de la Jeunesse auxerroise,domestic_league
4635109,2025-11-08,738,995,Didier Digard,Luís Castro,Stade Océane,19747.0,Romain Lissorgue,Le Havre Athletic Club,Football Club de Nantes,domestic_league
4635110,2025-11-07,10004,273,Stéphane Gilli,Habib Beye,Stade Jean Bouin,16587.0,Guillaume Paradis,Paris Football Club,Stade Rennais Football Club,domestic_league
4635111,2025-11-09,1158,415,Olivier Pantaloni,Carles Martínez,Stade du Moustoir,15562.0,Hakim Ben El Hadj,Football Club Lorient-Bretagne Sud,Toulouse Football Club,domestic_league
4635112,2025-11-08,162,826,Sébastien Pocognoli,Pierre Sage,Stade Louis-II,9456.0,Bastien Dechepy,Association sportive de Monaco Football Club,Racing Club de Lens,domestic_league
4635113,2025-11-09,667,1082,Liam Rosenior,Bruno Génésio,Stade de la Meinau,31051.0,François Letexier,Racing Club de Strasbourg Alsace,Lille Olympique Sporting Club,domestic_league
4635114,2025-11-22,826,667,Pierre Sage,Liam Rosenior,Stade Bollaert-Delelis,38211.0,Jérôme Brisard,Racing Club de Lens,Racing Club de Strasbourg Alsace,domestic_league
4635115,2025-11-22,273,162,Habib Beye,Sébastien Pocognoli,Roazhon Park,27681.0,Hakim Ben El Hadj,Stade Rennais Football Club,Association sportive de Monaco Football Club,domestic_league
